,category,text
10,African daisy,"Phytophthora nicotianae has a broad host range comprising 255 genera from 90 families. Hosts include tobacco, onion, tomato, ornamentals, cotton, pepper, and citrus plants. This pathogen can cause root rot, crown rot, fruit rot, leaf infection, and stem infection. Root rot symptoms are observed on tobacco, poinsettia, tomato, pineapple, watermelon, and  as well as African violet. Fruit rots occur on tomato, papaya, and eggplant. Onion shows a leaf and stem infection. In tobacco Black Shank affects the roots and basal stem area, but all parts of the plant can become infected. Damping off symptoms can be observed in young seedlings. The first above ground symptom that will be observed is the wilting of plants, which leads to stunting. Roots will be blackened and decayed. In final stages of the disease the stem begins to turn black, hence the name Black Shank. As this happens, tobacco leaves turn brown and become not marketable. Another symptom is disk-like appearance of the pith, although this is not a definitive symptom as it may also be the result of lightning strikes. On onion it causes the disease known as Phytophthora neck and bulb rot. Different stages of onion may be affected. Initially, tips of newly infected plants start to yellow and dry followed by softening of the ""neck"" of the plants that eventually fall over. Infected leaves may show grey lesions. Roots may become necrotic in late disease."
11,African daisy,"Phytophthora nicotianae has a broad host range comprising 255 genera from 90 families. Hosts include tobacco, onion, tomato, ornamentals, cotton, pepper, and citrus plants. This pathogen can cause root rot, crown rot, fruit rot, leaf infection, and stem infection. Root rot symptoms are observed on tobacco, poinsettia, tomato, pineapple, watermelon, and  as well as African violet. Fruit rots occur on tomato, papaya, and eggplant. Onion shows a leaf and stem infection. In tobacco Black Shank affects the roots and basal stem area, but all parts of the plant can become infected. Damping off symptoms can be observed in young seedlings. The first above ground symptom that will be observed is the wilting of plants, which leads to stunting. Roots will be blackened and decayed. In final stages of the disease the stem begins to turn black, hence the name Black Shank. As this happens, tobacco leaves turn brown and become not marketable. Another symptom is disk-like appearance of the pith, although this is not a definitive symptom as it may also be the result of lightning strikes. On onion it causes the disease known as Phytophthora neck and bulb rot. Different stages of onion may be affected. Initially, tips of newly infected plants start to yellow and dry followed by softening of the ""neck"" of the plants that eventually fall over. Infected leaves may show grey lesions. Roots may become necrotic in late disease."
12,African daisy,"Rhizoctonia solani sensu lato causes a wide range of commercially significant plant diseases. It is one of the fungi responsible for brown patch (a turfgrass disease), damping off (e.g. in soybean seedlings), black scurf of potatoes, bare patch of cereals, root rot of sugar beet, belly rot of cucumber, sheath blight of rice, and many other pathogenic conditions.  The fungus, therefore, has a wide host range and strains of R. solani may differ in the hosts they are able to infect, the virulence of infection, selectivity for a given host (which may range from nonpathogenic to highly virulent), the temperature at which infection occurs, the ability to develop in lower soil levels, the ability to form sclerotia, the growth rate, and survival in a certain area. These factors may not always be distinctive in every host that Rhizoctonia attacks or in every strain thereof.R. solani primarily attacks seeds of plants below the soil surface, but can also infect pods, roots, leaves, and stems. The most common symptom of Rhizoctonia is ""damping off"", or the failure of infected seeds to germinate. R. solani may invade the seed before it has germinated to cause this pre-emergent damping off, or it can kill very young seedlings soon after they emerge from the soil. Seeds that do germinate before being killed by the fungus have reddish-brown lesions and cankers on stems and roots.Various environmental conditions put plants at higher risk of infection. The pathogen prefers warmer, wet climates for infection and growth. Seedlings are most susceptible to disease in their early stages.Cereals in regions of England, South Australia, Canada, and India experience losses caused by R. solani every year. Roots are killed back, causing plants to be stunted and spindly. Other non-cereal plants in those regions can experience brown stumps as another symptom of the pathogen. R. solani can also cause hypocotyl and stem cankers on mature plants of tomatoes, potatoes, and cabbages. Strands of mycelium and sometimes sclerotia appear on their surfaces. Roots turn brown and die after a period of time. The best known symptom of R. solani is black scurf on potato tubers,  the scurf being the sclerotia of the fungus."
13,African daisy,"S. sclerotiorum is among the most omnivorous of plant pathogens and so would not make a good mycoherbicide. Economically significant hosts include Vicia faba, for which Lithourgidis et al have done extensive work over the years. Common hosts of white mold are herbaceous, succulent plants, particularly flowers and vegetables. Sunflowers are common hosts for white mold. It can also affect woody ornamentals occasionally, usually on juvenile tissue. White mold can affect their hosts at any stage of growth, including seedlings, mature plants, and harvested products. It can usually be found on tissues with high water content and in close proximity to the soil. One of the first symptoms noticed is an obvious area of white, fluffy mycelial growth. Usually this is preceded by pale to dark brown lesions on the stem at the soil line. The mycelium then cover this necrotic area. Once the xylem is affected, other symptoms occur higher up in the plant. These can include chlorosis, wilting, leaf drop, and death quickly follows. On fruits, the initial dark lesions occur on the tissue that comes in contact with the soil. Next, white fungal mycelium covers the fruit and it decays. This can occur when the fruit is in the field or when in storage."
14,African daisy,"Like other plant pathogenic viruses, TMV has a very wide host range and has different effects depending on the host being infected. Tobacco mosaic virus has been known to cause a production loss for flue cured tobacco of up to two percent in North Carolina. It is known to infect members of nine plant families, and at least 125 individual species, including tobacco, tomato, pepper (all members of the useful Solanaceae), cucumbers, a number of ornamental flowers, and beans including Phaseolus vulgaris and Vigna unguiculata. There are many different strains. The first symptom of this virus disease is a light green coloration between the veins of young leaves. This is followed quickly by the development of a ""mosaic"" or mottled pattern of light and dark green areas in the leaves. Rugosity may also be seen where the infected plant leaves display small localized random wrinkles. These symptoms develop quickly and are more pronounced on younger leaves. Its infection does not result in plant death, but if infection occurs early in the season, plants are stunted. Lower leaves are subjected to ""mosaic burn""  especially during periods of hot and dry weather. In these cases, large dead areas develop in the leaves. This constitutes one of the most destructive phases of Tobacco mosaic virus infection. Infected leaves may be crinkled, puckered, or elongated. However, if TMV infects crops like grape and apple, it is almost symptomless. TMV is able  to infect and complete its replication cycle in a plant pathogenic fungus,TMV is able to enter and replicate in cells of C. acutatum, C. clavatum, and C. theobromicola, which may not be an exception, although it has neither been found nor probably searched for in nature."
15,African daisy,"Boning  first discovered Tobacco Rattle Virus in 1931 in Germany.  It was discovered in Nicotiana tabacum, which is a species of cultivated tobacco.   Tobacco Rattle Virus is common and potentially serious in a variety of herbaceous ornamentals including, but not limited to, astilbe, bleeding heart, coral bells, daffodil, epimedium, gladiolus, hyacinth, marigold, tulip and vinca.  Tobacco rattle can also affect vegetable crops such as beans, beets, peppers, potatoes, and spinach.  On potatoes, the disease is referred to as corky ring spot. The disease corky ringspot of potatoes was first reported in the United States in 1946, and was identified incorrectly as a novel virus until advances in genetics demonstrated it to be the result of TRV.Symptoms of Tobacco Rattle Virus vary based on the plant host, which differs widely in this disease.  Common symptoms include mottling, chlorotic or necrotic local lesion, ringspots or line patterns, and systemic necrosis."
16,African daisy,"TSWV infects a variety of hosts, contributing to its global economic impact on crops. There are over a thousand different hosts for TSWV. The host range of TSWV includes agronomically important crops like tomatoes and tobacco. The symptoms of TSWV vary from host to host. There is also variability of symptoms within a single type of host due to the age of the plant, nutrition and the environment (especially temperature). Common symptoms include stunting, ringspots on fruit and necrosis of leaves. There are many different strains of TSWV, and differences in symptoms may also be attributed to the differences in the number of strains present."
17,African violet,"In fields, symptomatic plants are recognized in patches or rows.  They appear dwarfed, stunted, and brown in comparison to healthy plants. Local symptoms appear above ground, and plant leaves are typically distorted in shape, crinkled, and discolored with hard surfaces. They often have reduced flower size. Diseased plants typically have dead crowns and a shortened internode of the runners.A classic leaf symptom is the appearance of angular, water-soaked lesions between the veins.  The angular appearance results where the lesion edge and vein meet. In leaves with parallel venation, the length of the lesion progresses parallel to the direction of the vein.  As lesions enlarge and leaf damage progresses, symptomatic leaf edges become dry, dead, and crinkled. Because infected strawberry plants are less vigorous in growth, the stolon does not grow well, which results in reduced fruit size and number.  If the nematodes infect early in plant development, specifically when the buds are forming, the plant morphology will be dwarfed and distorted.Once the nematodes destroy most of the leaf tissue, they leave the plant through wounds and natural openings in the leaf to find a new host to infect. The pathogen is easily transmitted through direct contact between the foliage of infected and non-infected plants.  Nematodes can also move over large distances through soil transportation, as a result of human and animal movement, or through insect and bird travel."
18,African violet,"A. ritezmabosi has a wide host range of almost 200 plant species, and is an important disease in chrysanthemum and other ornamentals.  Other ornamental hosts of A. ritzemabosi are anemones, asters, carnations, Chinaster, cinerarias, coneflowers,crassulas, creeping bellflower, dahlias, delphiniums, elders, lupines, monkeyflower, phlox,pouchflower, rhododendrons, sages, Siberian wallflower, water peperomia, and zinnias.A common symptom of A. ritezmabosi is seen when the nematode is feeding in the foliar tissue.  Angular lesions are formed, which are chlorotic at first then turn necrotic as the feeding persists.  A sign that an A. ritzeambosi nematode is feeding in the bud of a plant is brown scars on the bud and surrounding tissue.  The nematode also produces secretions that have the ability to cause several other symptoms in infested plants including shortening of inter-nodes, creating a bushy appearance, browning and failure of the shoot to grow, as well as distorted leaf formation."
19,African violet,"D. dadantii is phytopathogenic bacterium causing soft rot diseases on many host plants including some which are economically important. D. dadantii, more commonly known as: soft rot, brown rot or blackleg, causes characteristic symptoms associated with other bacterial wilts, causing final diagnosis to be difficult. The pathogen primarily seeks to attack the plant's xylem vessels located in leaves, stems, blossoms and storage organs of herbaceous plants. D. dadantii is able to infect hosts at any point in its life cycle. In addition to symptoms of wilt, the disease appears as sunken and cracked external lesions also having a brown interior in cross section in subterranean bulbs and tubers Diseased plants will display a variety of symptoms including: wilting, stunting and vascular discoloration of the stems. Early symptoms include water soaked lesions at the site of infection, gradually expanding chlorotic leaves and loss of turgor in tissues. The intensity of D. dadantii colonization relates to the amount of disease and degree of damage. The pathogen is very successful at infiltrating host tissues due to the many pectinases responsible for disassembly of plant cell wall polysaccharides. Once the cell wall is degraded cellular structure collapses and this cell maceration gives a characteristic ""water-soaked"" or rotted appearance. D. dadantii grow intercellularly, continuing to degrade cells and colonize, until it eventually reaches xylem tissues. Upon reaching the xylem vessels D. dadantii possesses the ability to spread to new regions of the host and other areas may begin to display symptoms. Colonization within the xylem restricts flow of water causing loss of turgor pressure and wilting of foliage and stems. Restricted movement of important plant compounds eventually lead to death of the host."
20,African violet,"F. solani is a very generalistic fungal specie and has been known to infect peas, beans, potatoes, and many types of cucurbits. There has been increasing evidence that F. solani  can also act as a causal agent of mycoses in humans. F. solani can also cause damping off, corn rot, and root rot, as well as sudden death of soybeans(SDS). Symptoms include general plant decline, wilting, and large necrotic spots on tap roots. Recently the pathogen has also done serious damage to olive trees throughout the mediterranean. F. solani has been and remains a serious economic disease in North and South America."
21,African violet,"INSV has a wide host range and can be found in over 300 plant species including weeds, fruits, vegetables and ornamental crops. Of these, the most severely affected include tomatoes, lettuce, pepper and peppermint as well as most all ornamentals. Symptoms of infection include a downward curling of the leaves, leaf tip dieback, stunting, necrosis of growing leaf tips, sunken ‘chicken pox-like’ spots on leaves (often with a surrounding halo), stem death and yellowing.  Since these symptoms are so generic, extreme caution must be taken when introducing new plants to your greenhouse. Infected plants can not be cured and not all hosts display visible symptoms Western Flower Thrips are extremely hard to remove from their host plants, as they often dig themselves deep into blossoms, buds and other areas hard to reach with insecticides. So, even if plants are sprayed regularly with insecticide, INSV and other insect vectored viruses can not always be ruled out when forming diagnosis.Temperature and host both play an important factor when discussing the symptoms which an INSV infected plant will display. When New Guinea Impatiens are cultivated in an environment varying between 75 and 80 degrees Fahrenheit the host plant will be highly symptomatic. However, when New Guinea Impatiens are grown in an environment just 10 degrees cooler it is unlikely for there to be any observable symptoms of disease."
22,African violet,"These nematodes cause symptoms both on leaves and roots. Foliar symptoms of root-knot disease may be expressed at any time during the growing season. These symptoms of nematode damage on peanut plants range from stunting, yellowing, wilting and even plant death.  Ferris (1999–2012), also reported that nematodes cause yellowing; mid-day wilting; symptoms of water and nutrient stress; and sometimes death, especially if the nematode is interacting with other organisms.  They can appear in a peanut crop beginning about 100 days after planting or after periods of dry hot weather.  Areas of root-knot nematode damaged peanut are usually round to oblong in shape, and rows of infected plants may never overlap as those of healthy plants. It is common for plants to wilt and eventually die in areas where nematode populations are high.Root symptoms are similar to those caused by all nematodes including a reduction in number of feeder roots and root stunting, but root knot nematodes cause unique symptoms on roots and pods. Nematodes cause galls (knots) to form on both roots and pods of the peanut, and these galls are highly diagnostic for root-knot nematode presence compared to other nematodes affecting peanut. The presence of galls on roots, pegs and pods appears as single or multiple wart-like growths that may or may not be discolored. As root knot nematode infection progresses, and generally later in the season, secondary root and pod rots cause further damage and eventual death of the plants.Many soil-borne fungi, especially Sclerotium rolfsii (which causes southern stem rot) and Sclerotinia minor (which causes Sclerotinia blight), will infect the weakened peanut plants and cause more plant death. Root knot nematode infection of the peg weakens the peg so that it breaks during harvest, contributing to additional yield losses because the detached pods are then left in the soil. Infection of the pods leads to a decline in yield quality.The damage threshold, or the initial nematode population density at which peanut yields begin to decline, has been reported to be in the range of 1 to 10 eggs and second stage juveniles per 500 cm3 soil for M. arenaria on susceptible peanut cultivars."
23,African violet,"Meloidogyne hapla (Northern root-knot nematode) has a wide host range. It is polyphagous and affects over 550 crops and weeds. It feeds on many agricultural and horticultural plants (vegetables, fruits, ornamentals), but few grasses or cereals. A list of known hosts can be found at the bottom of this page.Symptoms can be seen in the roots, leaves, and the overall growth of the infected plant. In roots, there may be stunting, wilting, and the formation of abnormal growths called galls. Galls are usually small and spherical and are situated near many small roots. They are formed when the nematode enters the root and releases chemicals to enlarge root cells, on which they feed. The roots become defective and therefore cannot transport water and nutrients properly. The end result is stunted, wilted, and yellowing plants (characteristic of nutrient deficiency) and a decreased yield. Severity of the symptoms depends on nematode population density and host plant species and cultivar. As the number of nematodes increase in the area, the number and size of root galls increase as well. Each crop responds to Meloidogyne hapla differently. Carrots typically undergo severe forking with galling of the roots, lettuce have beadlike galls, and grasses and onions have small and barely noticeable galls and symptoms. In potato tubers (special stems), brown spots will appear on areas of the tubers where the females have laid their eggs.If a field has a patchy distribution of symptoms, it usually indicates the presence of nematodes. Most nematodes are not usually distributed uniformly in the soil. To correctly identify Meloidogyne hapla, the infected plant should be sent to a lab for a proper diagnosis. One common method is perineal pattern analysis where the perineum of the female nematode (area between the anus and the vulva) is examined for a specific pattern in ridges and annulations. Another common method is analyzing isozyme (different variations of the same enzyme produced by different genes) electrophoretic profiles using esterase and malate dehydrogenase."
24,African violet,"Plants affected by M. incognita present above ground symptoms of water- and nutrient-stress, yellowing, wilting, and stunting. Below ground galling on roots, bulbs, tubers is the typical symptom. Plant death may occur in high infestation level."
25,African violet,"Because there are so many different hosts for this pathogen, the symptoms are very variable. Common symptoms include abnormal leaf color, abnormal leaf form, wilting leaves, galls, swollen roots, reduced root system, dwarfing and senescence (Cabi 2018). This pathogen does the most damage when present in light soils with hot weather conditions (Alford 2012)."
26,African violet,"This species is reported to be pathogenic on grandiflora petunia (Petunia × atkinsiana). It causes root rot, shoot rot and shanking in tulips. It also infects blue daze (Evolvulus glomeratus), dusty miller (Jacobaea maritima), Barberton daisy (Gerbera jamesonii), and garden verbena (Verbena × hybrida). Like its relative Phytophtora cambivora, it can cause ink disease of chestnuts (Castanea sativa).The species is a cause of foot rot in tomatoes, causing discoloration and lesion in the stem. Progression of lesions leads to girdling, root system rot and plant collapse. Foliage will not be affected until plant stem has become girdled."
27,African violet,"Phytophthora nicotianae has a broad host range comprising 255 genera from 90 families. Hosts include tobacco, onion, tomato, ornamentals, cotton, pepper, and citrus plants. This pathogen can cause root rot, crown rot, fruit rot, leaf infection, and stem infection. Root rot symptoms are observed on tobacco, poinsettia, tomato, pineapple, watermelon, and  as well as African violet. Fruit rots occur on tomato, papaya, and eggplant. Onion shows a leaf and stem infection. In tobacco Black Shank affects the roots and basal stem area, but all parts of the plant can become infected. Damping off symptoms can be observed in young seedlings. The first above ground symptom that will be observed is the wilting of plants, which leads to stunting. Roots will be blackened and decayed. In final stages of the disease the stem begins to turn black, hence the name Black Shank. As this happens, tobacco leaves turn brown and become not marketable. Another symptom is disk-like appearance of the pith, although this is not a definitive symptom as it may also be the result of lightning strikes. On onion it causes the disease known as Phytophthora neck and bulb rot. Different stages of onion may be affected. Initially, tips of newly infected plants start to yellow and dry followed by softening of the ""neck"" of the plants that eventually fall over. Infected leaves may show grey lesions. Roots may become necrotic in late disease."
